UID,YearManufactured,City,State,zip,Purchase_Price,Number_of_services,Model,Category,OEM,Currency,Make,Type,Date,Retail_Price,Condition
Asset20,2009,Anchorage,Alaska,99501,213000,3,Signa LX 1.5T,MRI,GE,USD,Ventana,Complete System,6/3/2018,192234,Used
Asset21,2008,Memphis,Tennessee,37501,62000,1,AMX 4 Plus,RAD,GE,USD,Ventana,Complete System,6/3/2018,55000,Used
Asset22,2012,Sacramento,California,94203,33000,5,Legacy,XRAY,GE,USD,Cole-Parmer,Complete System,6/18/2018,27430,Unknown
Asset23,2012,Pittsburgh,Pennsylvania,15106,55000,0,AMX 700,RAD,GE,USD,NA,Complete System,6/3/2018,43830,Used
Asset24,2001,Fort Worth,Texas,76006,25000,1,Advantx,VAS,GE,USD,Universal Pack,Complete System,6/18/2018,21403,Used
Asset25,2013,Dallas,Texas,75001,332000,3,Signa LX Hispeed Plus 1.5T,MRI,GE,USD,LJL BioSystems,Complete System,6/18/2018,497291,Unknown
Asset26,2003,San Fransisco,California,94016,180000,2,Vantage 1.5T,NUC,Toshiba,USD,Universal Pack,Complete System,6/18/2018,130134,New
Asset27,2005,Atlanta,Georgia,30301,71000,4,Selenia,MRI,Hologic,USD,milford,Complete System,6/3/2018,53896,Used
Asset28,2014,Jacksonville,Florida,32034,27000,2,FB307407U,CABLE_PARTS,GE,USD,milford,Parts,6/3/2018,23525,Unknown
Asset29,2015,Long Beach,California,90712,52000,1,Millennium MPR,NUC,GE,USD,AWM Rainforcing Business,Complete System,6/19/2018,50167,Used
Asset30,2005,Madison,Wisconsin,53558,39000,3,Signa HD 3.0T,MRI,GE,USD,Cole-Parmer,Complete System,6/19/2018,351371,Used
Asset31,2012,Baltimore,Maryland,21201,52000,2,Signa Excite II 1.5T,MRI,GE,USD,Nalgene,Complete System,6/19/2018,438000,Used
Asset32,2002,Baltimore,Maryland,21201,520000,2,Gemini GXL 16,CT,Philips,USD,Ventana,Complete System,6/19/2018,441333,Unknown
Asset1,2009,Tulsa,Oklahoma,74008,140000,2,Lightspeed 16,CT,GE,USD,Ventana,Complete System,6/3/2018,125780,Used
Asset2,2015,Houston,Texas,77001,190000,3,Lightspeed VCT 64,CT,GE,USD,Ventana,Complete System,6/19/2018,173937,Unknown
Asset3,2011,Anchorage,Alaska,99501,81000,2,Emotion 16,CT,Siemens,USD,AWM Rainforcing Business,Complete System,6/3/2018,72441,New
Asset4,2003,Memphis,Tennessee,37501,125000,1,Brilliance 64,CT,Philips,USD,LET,Complete System,6/3/2018,113489,Used
Asset5,2003,Sacramento,California,94203,102500,2,Sensation 16,CT,Siemens,USD,LJL BioSystems,Complete System,6/3/2018,93784,Used
Asset6,2003,Pittsburgh,Pennsylvania,15106,148000,4,Intera 1.5T,MRI,Philips,USD,Universal Pack,Complete System,6/17/2018,144532,Unknown
Asset7,2014,Fort Worth,Texas,76006,62300,2,Sensation 4,CT,Siemens,USD,LJL BioSystems,Complete System,6/17/2018,54879,Used
Asset8,2003,Dallas,Texas,75001,78000,1,Lightspeed Plus,CT,GE,USD,milford,Complete System,6/17/2018,68162,Used
Asset9,2008,San Fransisco,California,94016,260000,2,Achieva 1.5T,MRI,Philips,USD,AWM Rainforcing Business,Complete System,6/17/2018,233609,Unknown
Asset10,2010,Atlanta,Georgia,30301,147500,0,Definition,CT,GE,USD,Nalgene,Complete System,6/17/2018,139877,Used
Asset11,2005,Jacksonville,Florida,32034,88000,1,Emotion 6,CT,Siemens,USD,Ventana,Complete System,6/17/2018,67864,Used
Asset12,2009,Long Beach,California,90712,124000,3,Sensation 64,CT,Siemens,USD,Ventana,Complete System,6/3/2018,112994,Used
Asset13,2006,Madison,Wisconsin,53558,356725,2,Discovery,CT,GE,USD,Ventana,Complete System,6/17/2018,313470,Used
Asset14,2006,Baltimore,Maryland,21201,255750,1,Axiom Artis,NUC,Siemens,USD,Cole-Parmer,Complete System,6/17/2018,233312,Used
Asset15,2009,Baltimore,Maryland,21201,64000,0,Lightspeed Ultra,CT,GE,USD,NA,Complete System,6/17/2018,34512,Used
Asset16,2006,Baltimore,Maryland,21201,10040,2,Senographe 800T,MAM,GE,USD,Universal Pack,Complete System,6/17/2018,8283,New
Asset17,2008,Oakland,California,94577,325000,1,Avanto 1.5T,MRI,Siemens,USD,LJL BioSystems,Complete System,6/17/2018,309570,Unknown
Asset18,2009,Miami,Florida,33101,104000,2,Harmony 1.0T,MRI,Siemens,USD,Universal Pack,Complete System,6/17/2018,98368,Used
Asset19,2004,Mesa,Arizona,85201,77000,2,Lightspeed QXi,CT,GE,USD,milford,Complete System,6/17/2018,43083,Used
Asset20,2010,Arlington,Virginia,20330,213000,3,Signa LX 1.5T,MRI,GE,USD,milford,Complete System,6/17/2018,192234,Used
Asset21,2009,Montgomery,Alabama,36043,62000,1,AMX 4 Plus,RAD,GE,USD,AWM Rainforcing Business,Complete System,6/3/2018,,Unknown
Asset22,2013,Portland,Oregon,97035,33000,5,Legacy,XRAY,GE,USD,Cole-Parmer,Complete System,6/3/2018,2743,Used
Asset23,2013,Anaheim,California,92801,55000,0,AMX 700,RAD,GE,USD,Nalgene,Complete System,6/3/2018,43830,Used
Asset24,2002,Kansas City,Missouri,64030,25000,1,Advantx,VAS,GE,USD,Ventana,Complete System,6/3/2018,21403,Unknown
Asset25,2014,Henderson,Nevada,89002,332000,3,Signa LX Hispeed Plus 1.5T,MRI,GE,USD,Ventana,Complete System,6/3/2018,497291,New
Asset26,2004,Milwaukee,Wisconsin,53201,180000,2,Vantage 1.5T,NUC,Toshiba,USD,Ventana,Complete System,6/3/2018,130134,Used
Asset27,2006,Jersey City,New Jersey,7030,71000,4,Selenia,MRI,Hologic,USD,AWM Rainforcing Business,Complete System,6/18/2018,53896,Unknown
Asset28,2015,Cleveland,Ohio,44101,27000,2,FB307407U,CABLE_PARTS,GE,USD,LET,Parts,6/3/2018,,Used
Asset29,2016,Boise,Idaho,83701,52000,1,Millennium MPR,NUC,GE,USD,LJL BioSystems,Complete System,6/18/2018,50167,Used
Asset30,2006,Rochester,New York,14602,39000,3,Signa HD 3.0T,MRI,GE,USD,Universal Pack,Complete System,6/18/2018,351371,Used
Asset31,2013,Detroit,Michigan,48127,52000,2,Signa Excite II 1.5T,MRI,GE,USD,LJL BioSystems,Complete System,6/18/2018,438000,Unknown
Asset32,2003,Greensboro,North Carolina,27214,520000,2,Gemini GXL 16,CT,Philips,USD,milford,Complete System,6/3/2018,441333,Used
Asset1,2011,Portland,Oregon,97035,140000,3,Lightspeed 16,CT,GE,USD,AWM Rainforcing Business,Complete System,6/3/2018,125780,Unknown
Asset2,2017,Anaheim,California,92801,190000,4,Lightspeed VCT 64,CT,GE,USD,Nalgene,Complete System,6/19/2018,173937,New
Asset3,2013,Kansas City,Missouri,64030,81000,3,Emotion 16,CT,Siemens,USD,Ventana,Complete System,6/19/2018,72441,Used
Asset4,2005,Henderson,Nevada,89002,125000,2,Brilliance 64,CT,Philips,USD,Ventana,Complete System,6/19/2018,113489,Used
Asset5,2005,Milwaukee,Wisconsin,53201,102500,3,Sensation 16,CT,Siemens,USD,Ventana,Complete System,6/19/2018,93784,Unknown
Asset6,2005,Jersey City,New Jersey,7030,148000,5,Intera 1.5T,MRI,Philips,USD,Cole-Parmer,Complete System,6/3/2018,144532,Used
Asset7,2016,Cleveland,Ohio,44101,62300,3,Sensation 4,CT,Siemens,USD,NA,Complete System,6/19/2018,54879,Used
Asset8,2005,Boise,Idaho,83701,78000,2,Lightspeed Plus,CT,GE,USD,Universal Pack,Complete System,6/3/2018,68162,Unknown
Asset9,2010,Rochester,New York,14602,260000,3,Achieva 1.5T,MRI,Philips,USD,LJL BioSystems,Complete System,6/3/2018,233609,Used
Asset10,2012,Detroit,Michigan,48127,147500,1,Definition,CT,GE,USD,Universal Pack,Complete System,6/3/2018,139877,Used
Asset11,2007,Greensboro,North Carolina,27214,88000,2,Emotion 6,CT,Siemens,USD,milford,Complete System,6/17/2018,67864,Used
Asset12,2011,Tulsa,Oklahoma,74008,124000,4,Sensation 64,CT,Siemens,USD,milford,Complete System,6/17/2018,112994,Used
Asset13,2008,Houston,Texas,77001,356725,3,Discovery,CT,GE,USD,AWM Rainforcing Business,Complete System,6/17/2018,313470,Used
Asset14,2008,Baltimore,Maryland,21201,255750,2,Axiom Artis,NUC,Siemens,USD,Cole-Parmer,Complete System,6/17/2018,233312,Used
Asset15,2011,Oakland,California,94577,64000,1,Lightspeed Ultra,CT,GE,USD,Nalgene,Complete System,6/17/2018,34512,New
Asset16,2008,Miami,Florida,33101,10040,3,Senographe 800T,MAM,GE,USD,Ventana,Complete System,6/17/2018,8283,Unknown
Asset17,2010,Mesa,Arizona,85201,325000,2,Avanto 1.5T,MRI,Siemens,USD,Ventana,Complete System,6/3/2018,309570,Used
Asset18,2011,Arlington,Virginia,20330,104000,3,Harmony 1.0T,MRI,Siemens,USD,Ventana,Complete System,6/17/2018,98368,Used
Asset19,2006,Montgomery,Alabama,36043,77000,3,Lightspeed QXi,CT,GE,USD,AWM Rainforcing Business,Complete System,6/17/2018,43083,Used
Asset20,2012,Anchorage,Alaska,99501,213000,4,Signa LX 1.5T,MRI,GE,USD,SIG,Complete System,6/17/2018,192234,Unknown
Asset21,2011,Memphis,Tennessee,37501,62000,2,AMX 4 Plus,RAD,GE,USD,SGS,Complete System,6/17/2018,,Used
Asset22,2015,Sacramento,California,94203,33000,6,Legacy,XRAY,GE,USD,aa,Complete System,6/17/2018,2743,Used
Asset23,2015,Pittsburgh,Pennsylvania,15106,55000,1,AMX 700,RAD,GE,USD,LET,Complete System,6/17/2018,43830,Unknown
Asset24,2004,Fort Worth,Texas,76006,25000,2,Advantx,VAS,GE,USD,LJL BioSystems,Complete System,6/17/2018,21403,New
Asset25,2016,Dallas,Texas,75001,332000,4,Signa LX Hispeed Plus 1.5T,MRI,GE,USD,Universal Pack,Complete System,6/17/2018,497291,Used
Asset26,2006,San Fransisco,California,94016,180000,3,Vantage 1.5T,NUC,Toshiba,USD,milford,Complete System,6/3/2018,130134,Unknown
Asset27,2008,Atlanta,Georgia,30301,71000,5,Selenia,MRI,Hologic,USD,Ventana,Complete System,6/3/2018,53896,Used
Asset28,2017,Jacksonville,Florida,32034,27000,3,FB307407U,CABLE_PARTS,GE,USD,Ventana,Parts,6/3/2018,,Used
Asset29,2018,Long Beach,California,90712,52000,2,Millennium MPR,NUC,GE,USD,Ventana,Complete System,6/3/2018,50167,Used
Asset30,2008,Madison,Wisconsin,53558,39000,4,Signa HD 3.0T,MRI,GE,USD,Nalgene,Complete System,6/3/2018,351371,Unknown
Asset31,2015,Baltimore,Maryland,21201,52000,3,Signa Excite II 1.5T,MRI,GE,USD,SIG,Complete System,6/3/2018,438000,Used
Asset32,2005,Baltimore,Maryland,21201,520000,3,Gemini GXL 16,CT,Philips,USD,SGS,Complete System,6/18/2018,441333,Unknown
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
